Date	Open	High	Low	Close	Volume
2022-12-19 05:00:00	844.24	895.8	843.52	884.27	723800
2022-12-20 05:00:00	881.18	907.08	874.87	875.91	540300
2022-12-21 05:00:00	877.58	908.99	873.0	900.1	409900
2022-12-22 05:00:00	882.97	885.39	863.47	873.26	470100
2022-12-23 05:00:00	864.3	879.73	853.08	878.32	288100
2022-12-27 05:00:00	872.99	874.38	848.13	854.3	294000
2022-12-28 05:00:00	856.44	867.99	838.25	839.57	475300
2022-12-29 05:00:00	849.47	874.08	838.05	866.28	443900
2022-12-30 05:00:00	846.81	851.06	830.01	846.24	365600
2023-01-03 05:00:00	867.58	874.06	815.86	826.11	775500
2023-01-04 05:00:00	842.0	849.29	821.98	837.44	404900
2023-01-05 05:00:00	827.87	859.96	818.01	856.09	415200
2023-01-06 05:00:00	856.09	879.42	847.01	873.47	343000
2023-01-09 05:00:00	891.26	920.0	882.0	897.31	451800
2023-01-10 05:00:00	897.0	919.19	896.31	915.78	270200
2023-01-11 05:00:00	928.29	936.89	911.1	936.8	466100
2023-01-12 05:00:00	983.0	1033.79	933.57	1024.31	1132200
2023-01-13 05:00:00	1011.15	1091.85	1011.0	1082.92	1237100
2023-01-17 05:00:00	1081.27	1089.0	1046.86	1070.0	593800
